SpeciesID,サムネイル
SP-0030,images/thumbnails/SP-0030_Hareyakaotomefude_front.jpg
SP-0019,images/thumbnails/SP-0019_Mushiebi_front.jpg
SP-0046,images/thumbnails/SP-0046_Murasakianboina_front.jpg
SP-0043,images/thumbnails/SP-0043_Ayamakura cf._front.jpg
SP-0081,images/thumbnails/SP-0081_Ichijikugai_front.jpg
SP-0082,images/thumbnails/SP-0082_Torigai_front.jpg
SP-0083,images/thumbnails/SP-0083_Arisogai_front.jpg
SP-0084,images/thumbnails/SP-0084_Kuichigaisarubo_front.jpg
SP-0085,images/thumbnails/SP-0085_Makuragai_front.jpg
SP-0086,images/thumbnails/SP-0086_Kaishiaori_front.jpg
SP-0087,images/thumbnails/SP-0087_Kabafudakara_front.jpg
SP-0088,images/thumbnails/SP-0088_Nagazaru_front.jpg
SP-0089,images/thumbnails/SP-0089_Mushirootomefude_front.jpg
SP-0090,images/thumbnails/SP-0090_Umiusagi_front.jpg
SP-0091,images/thumbnails/SP-0091_Chitosebora_front.jpg
SP-0092,images/thumbnails/SP-0092_Tobiirofude_front.jpg
SP-0093,images/thumbnails/SP-0093_Midoriigai_front.jpg
